מספר סידורי,מספר לפי מתחרים,שם המוצר,מקט,שם המוצר מהאתר,חברה/מותג,תאריך,מחיר רגיל,מחיר ליחידה/משקל,מחיר מבצע,מחיר מבצע ליח'
1,1,מגבונים לחים מארז מותג הבית 6 יח' (רמי לוי 4),7290017197432,,,,,,,
2,1,מגבוני האגיס 4 יח',7290000195537,,,,,,,
3,1,מגבוני פמפרס/טיטולים 4 יח',7290000188782,,,,,,,
4,2,תחליב רחצה מותג הבית,7290015325806,,,,,,,
5,2,פינוק,7290100247068,,,,,,,
6,2,דאב,8712561594608,,,,,,,
7,3,ג'ל רחצה מותג הבית,7290015325790,,,,,,,
8,3,ג'ל רחצה crema,7290013848383,,,,,,,
9,3,ג'ל רחצה palmolive,7290111936333,,,,,,,
10,4,אל סבון 1 ליטר מותג הבית,7290017197623,,,,,,,
11,4,אל סבון כיף,7290005424403,,,,,,,
12,4,אל סבון family,7290001865439,,,,,,,
13,5,אל סבון מארז מותג הבית,7290108272895,,,,,,,
14,5,אל סבון כיף מארז,7290005423888,,,,,,,
15,5,אל סבון family מארז,7290012193170,,,,,,,
16,6,ג'ל גילוח מותג הבית,7290001072103,,,,,,,
17,6,ג'ל גילוח ג'ילט,3014260214692,,,,,,,
18,6,ג'ל גילוח crema,7290011765095,,,,,,,
19,7,גבינה צהובה פרוסות 200 ג' מותג הבית,7290004256432,,,,,,,
20,7,נעם 200 ג',7290102394821,,,,,,,
21,7,עמק 200 ג',7290004122270,,,,,,,
22,8,"נקניקיות 1 ק""ג מותג הבית",7290012228001,,,,,,,
23,8,זוגלובק,7290000537603,,,,,,,
24,8,טירת צבי,7290000364858,,,,,,,
25,9,נקניקיות מרגז 400 ג' מותג הבית,7290004229443,,,,,,,
26,9,זוגלובק,7290012226007,,,,,,,
27,10, (רמי לוי 10) 6 לחמניות מותג הבית,7290016865554,,,,,,,
28,10,אנג'ל,7290002065555,,,,,,,
29,11,תירוש 1 ל' מותג הבית,7290017812083,,,,,,,
30,11,תירוש כרמל,7290004658625,,,,,,,
31,11,יין מתוק לקידוש סגל,7290000024523,,,,,,,
32,12,קפה נמס מותג הבית,7290014704145,,,,,,,
33,12,קפה נמס עלית,7290000176420,,,,,,,
34,13,קפה טורקי מותג הבית,7290014704114,,,,,,,
35,13,קפה טורקי עלית,7290106525375,,,,,,,
36,14,תה ירוק 25 יח' מותג הבית,54881003971,,,,,,,
37,14,ויסוצקי,7290006251275,,,,,,,
38,14,ליפטון 20 יח',8690637688195,,,,,,,
39,15,אבקת שוקו 500 ג' מותג הבית,7290014704152,,,,,,,
40,15,שוקולית עלית,7290000174723,,,,,,,
41,16,פיצה קפואה מותג הבית,7290002603979,,,,,,,
42,16,פיצה מעדנות,7290014218130,,,,,,,
